,State,Civil_Twilight,Accident_count,month
339,OK,Night,298,4
340,OK,Night,263,5
341,OK,Night,128,6
342,OK,Night,137,7
343,OR,Day,2468,3
344,OR,Day,1996,4
345,OR,Day,1819,5
346,OR,Day,2081,6
347,OR,Day,2956,7
348,OR,Night,799,3
349,OR,Night,544,4
350,OR,Night,247,5
351,OR,Night,257,6
352,OR,Night,376,7
353,PA,Day,1334,3
354,PA,Day,1302,4
355,PA,Day,1486,5
356,PA,Day,1387,6
357,PA,Day,1311,7
358,PA,Night,371,3
359,PA,Night,227,4
360,PA,Night,114,5
361,PA,Night,125,6
362,PA,Night,112,7
363,RI,Day,219,3
364,RI,Day,220,4
365,RI,Day,230,5
366,RI,Day,203,6
367,RI,Day,260,7
368,RI,Night,24,3
369,RI,Night,18,4
370,RI,Night,13,5
371,RI,Night,21,6
372,RI,Night,13,7
373,SC,Day,3558,3
374,SC,Day,4360,4
375,SC,Day,4579,5
376,SC,Day,4140,6
377,SC,Day,4251,7
378,SC,Night,585,3
379,SC,Night,467,4
380,SC,Night,394,5
381,SC,Night,309,6
382,SC,Night,344,7
383,SD,Day,2,3
384,SD,Day,3,5
385,SD,Day,2,6
386,SD,Night,5,3
387,SD,Night,3,4
388,SD,Night,2,5
389,SD,Night,2,7
390,TN,Day,1424,3
391,TN,Day,2217,4
392,TN,Day,1747,5
393,TN,Day,1508,6
394,TN,Day,1293,7
395,TN,Night,226,3
396,TN,Night,160,4
397,TN,Night,89,5
398,TN,Night,106,6
399,TN,Night,129,7
400,TX,Day,4522,3
401,TX,Day,5809,4
402,TX,Day,5904,5
403,TX,Day,5235,6
404,TX,Day,5483,7
405,TX,Night,974,3
406,TX,Night,916,4
407,TX,Night,629,5
408,TX,Night,530,6
409,TX,Night,592,7
410,UT,Day,1393,3
411,UT,Day,1461,4
412,UT,Day,1865,5
413,UT,Day,1666,6
414,UT,Day,1508,7
415,UT,Night,535,3
416,UT,Night,330,4
417,UT,Night,213,5
418,UT,Night,219,6
419,UT,Night,256,7
420,VA,Day,1788,3
421,VA,Day,2030,4
422,VA,Day,2200,5
423,VA,Day,1690,6
424,VA,Day,1907,7
425,VA,Night,477,3
426,VA,Night,326,4
427,VA,Night,185,5
428,VA,Night,128,6
429,VA,Night,127,7
430,VT,Day,13,3
431,VT,Day,8,4
432,VT,Day,4,5
433,VT,Day,5,6
434,VT,Day,26,7
435,VT,Night,4,3
436,VT,Night,1,5
437,VT,Night,2,6
438,VT,Night,1,7
439,WA,Day,857,3
440,WA,Day,927,4
441,WA,Day,1084,5
442,WA,Day,863,6
443,WA,Day,1092,7
444,WA,Night,302,3
445,WA,Night,228,4
446,WA,Night,149,5
447,WA,Night,190,6
448,WA,Night,217,7
449,WI,Day,422,3
450,WI,Day,416,4
451,WI,Day,507,5
452,WI,Day,416,6
453,WI,Day,408,7
454,WI,Night,87,3
455,WI,Night,32,4
456,WI,Night,36,5
457,WI,Night,34,6
458,WI,Night,25,7
459,WV,Day,22,3
460,WV,Day,36,4
461,WV,Day,40,5
462,WV,Day,30,6
463,WV,Day,48,7
464,WV,Night,5,3
465,WV,Night,14,4
466,WV,Night,11,5
467,WV,Night,8,6
468,WV,Night,9,7
469,WY,Day,3,3
470,WY,Day,6,4
471,WY,Day,8,5
472,WY,Day,3,6
473,WY,Day,4,7
474,WY,Night,2,3
475,WY,Night,1,4
476,WY,Night,1,7
